"Seg","Ter","Qua","Qui","Sex"
-0.00399300414676052,0.0084858968153797,0.0297267069443795,-0.000759308024281037,-0.00917095971576709
-0.0012102710473503,-0.00273721792811069,-0.0109229813916538,0.0418446169485903,-0.0181945588469808
NA,0.0370736249713966,0.0104876351702954,0.0184377288285627,0.0312026244480264
-0.0184204237601544,0.00931649843325418,-0.0457650981511073,-0.0278209431260435,-0.0453535956344793
0.0177869329102169,0.0337493818147259,0.011388539094894,0.0655629669271313,0.0110421847348585
0.0273956199743596,-0.000910035957388595,-0.0107494900904395,0.0394583452011846,0.0353593436815145
-0.0241095682332419,-0.0427875498419403,-0.0210168945519774,0.00503692659619114,-0.0146141829813442
NA,-0.0104447353483817,0.0147192196265851,-0.0622676668261188,-0.0204072299603392
0.00741667706769543,0.0252465085326006,-0.00537100515431378,0.0266189710789348,0.0328732846480504
0.018099093245347,-0.0087064272238116,-0.0655359345044019,-0.00959103197663098,-0.000349331342722477
-0.00512548040986474,-0.0568290984577739,-0.043299920202527,-0.0209058849374634,-0.0357343720696332
0.020728334477546,0.000121921948585634,0.0315310514660651,0.00110820832956605,0.0178822641048829
-0.0232127611489653,-0.0152555510300717,0.00481803909270111,0.017586743126416,-0.00369658082282938
-0.0161334782899589,0.0147886180712803,0.0384090469033689,-0.00444045574475328,0.0164032408234834
0.0263795928255635,-0.00183409111886028,-0.0327640766451257,0.0140324065358289,NA
-0.0256078521535708,-0.0401818424581551,-0.026857439047751,-0.00376090798590005,0.00100237381630715
-0.0479334453521761,0.0138837660496836,-0.0716290006551962,-0.0461526490569822,0.0182919689445926
-0.0609074978268495,-0.0264080247986947,-0.0649649730282575,0.00769053003539803,-0.0264176840159396
0.0249914871203242,-0.0305495232114843,0.0212557287236308,0.00800375015173203,-0.0345503559535052
0.0172381628501803,-0.00165074339450683,0.0664410142822776,0.0223930855786038,0.0209846778421663
-0.0347582465606198,0.00122538582072127,-0.0138964186408994,-0.0156014988404434,-0.0303306178688845
NA,0.0312699371788566,0.0242329561503316,0.0183272106608894,0.0428632234866629
-0.00974653434203541,-0.0284033374750221,-0.00678013901118588,0.00633338715633316,0.0301137809394719
0.000110088922281051,-0.0515077211996651,-0.0720380193435612,-0.0153325863672264,-0.0532427798499959
NA,-0.0166220713795311,0.0103731660880522,-0.0146673799281991,-0.0261807092205905
0.043426213750736,0.0646784418250778,0.0181914138886102,0.0461086170544815,0.0222219282134261
NA,-0.00384578483994185,-0.00403133719677977,0.000524961923821631,0.011508603293645
0.0100366435088176,0.0392494855584912,0.00201301563074948,-0.00711344939539497,-0.0121224198278764
0.0194619042557068,-0.0109264346970198,-0.000716984821484867,4.14338854127679e-05,0.0267564385468463
-0.00862338670473498,0.0122744468583307,-0.0813517691636275,-0.0430405080997886,-0.0301649423326577
0.0267915022282699,0.0285416908317312,-0.0107691064090202,0.0128898630824164,0.0196760867920821
0.00732004367989929,-0.00889808869575799,-0.0261352478540858,0.00556599827586794,-0.0188719936705207
0.009736864703853,0.0176707038561659,0.0198296401587764,0.0190284956611502,0.0289349798090157
0.0163884465745838,-0.00825030189573283,-0.0106154677048696,-0.0240621537751575,0.02562032266079
-0.0235598248212752,-0.0257068845300535,-0.0285237555767028,-0.0301355538302648,-0.0175611765732176
NA,-0.00457636404238929,-0.034661880845673,-0.0172164051659766,-0.0385273011932855
0.0128970124068381,0.0761564456551939,0.0202653307778508,0.0482972152185278,0.0237862489925392
-0.00372472898634117,0.00384194749172281,0.00981232017097085,-0.0131191432588016,0.00807449494908426
-0.00899617353943472,-0.00659179167158509,-0.0306831621748249,0.00383737355975466,0.00839681462255969
-0.0523585024589161,-0.0525083492880324,-0.0199816662956808,-0.00902497506150861,0.0321569664606979
-0.025731429786394,-0.0302841326558327,-0.0485427326029322,-0.0846423834060886,-0.0227857245897091
-0.0582334492920563,-0.0230714312061898,-0.0105181138391687,-0.0175922569597365,-0.044268279193092
0.00164565700208521,0.00904179385595785,0.0999898129796258,0.0425897304064472,-0.0173869662850864
0.0502805877386438,0.0514838739837895,0.0697927687692929,0.0610032921699362,0.00109888823700705
-0.00139291526069119,0.0234882143061995,0.0469267977133636,-0.0543913751962984,0.0108793769262366
