"Seg","Ter","Qua","Qui","Sex"
0.00637074635575183,0.018849647317892,0.0400904574468919,0.00960444247823131,0.00119279078674525
0.000820700676145258,-0.000706246204615124,-0.00889200966815828,0.0438755886720859,-0.0161635871234852
NA,0.0258553834297715,-0.000730606371329628,0.00721948728693764,0.0199843829064013
0.000266651013353714,0.0280035732067623,-0.0270780233775992,-0.00913386835253532,-0.0266665208609712
-0.00734238100118892,0.00862006790332012,-0.0137407748165118,0.0404336530157255,-0.0140871291765473
0.0177654026714645,-0.0105402532602837,-0.0203797073933346,0.0298281278982895,0.0257291263786194
0.00151109836674951,-0.017166883241949,0.00460377204801393,0.0306575931961825,0.0110064836186471
NA,0.00204790945301095,0.0272118644279778,-0.0497750220247261,-0.00791458515894658
-0.00356410619103864,0.0142657252738665,-0.0163517884130479,0.0156381878202008,0.0218925013893163
0.0390899502727817,0.0122844298036231,-0.0445450774769672,0.0113998250508037,0.0206415256847122
0.0142038012047462,-0.037499816843163,-0.0239706385879161,-0.0015766033228525,-0.0164050904550223
0.00558711840367518,-0.0150192941252852,0.0163898353921943,-0.0140330077443047,0.00274104803101213
-0.0217489084981044,-0.0137916983792108,0.00628189174356195,0.0190505957772768,-0.00223272817196854
-0.016547210929858,0.0143748854313812,0.0379953142634698,-0.00485418838465237,0.0159895081835843
0.0407390015196296,0.0125253175752058,-0.0184046679510597,0.028391815229895,NA
-0.00126816209025418,-0.0158421523948385,-0.00251774898443438,0.0205787820774166,0.0253420638796238
-0.0232610191739707,0.038556192227889,-0.0469565744769907,-0.0214802228787768,0.0429643951227981
-0.023873543464961,0.0106259295631938,-0.027931018666369,0.0447244843972866,0.0106162703459489
0.038091228331912,-0.0174497819998965,0.0343554699352186,0.0211034913633198,-0.0214506147419174
-0.000401205154408724,-0.0192901113990958,0.0488016462776886,0.00475371757401483,0.00334530983757736
-0.0310398055919786,0.00494382678936245,-0.0101779776722583,-0.0118830578718022,-0.0266121769002433
NA,0.00612944179779912,-0.000907539230725785,-0.00681328472016801,0.0177227281056054
0.00579242265687605,-0.0128643804761106,0.00875881798772557,0.0218723441552446,0.0456527379383834
0.0433893504281935,-0.00822845969375263,-0.0287587578376488,0.027946675138686,-0.00996351834408349
NA,-0.0236539648478742,0.0033412726197091,-0.0216992733965422,-0.0332126026889336
0.0115546023596489,0.0328068304339907,-0.0136801975024769,0.0142370056633943,-0.00964968317766104
NA,-0.0116968973183514,-0.0117625532753211,-0.00722488118562878,0.00375880077152305
0.012812763427864,0.0420256054775376,0.00478913554979588,-0.00433732947634857,-0.00934629990882996
0.0105934931757762,-0.0197948457769504,-0.00958539590141547,-0.00882697719451783,0.0178880274669157
0.00686370882317761,0.0277615423862432,-0.065864673635715,-0.027553412571876,-0.0146778468047451
0.0108248472965167,0.0125750358999779,-0.0267357613407735,-0.00307679184933682,0.00370943186032882
0.0102596020151408,-0.00595853036051652,-0.0231956895188443,0.00850555661110941,-0.0159324353352792
-0.00419934243888778,0.00373449671342516,0.00589343301603559,0.00509228851840945,0.0149987726662749
0.030461481864847,0.00582273339453035,0.00345756758539353,-0.00998911848489434,0.0396933579510531
0.0116703112784919,0.00952325156971356,0.00670638052306427,0.00509458226950232,0.0176689595265495
NA,0.0119010105157565,-0.0181845062875272,-0.000739030607830787,-0.0220499266351397
-0.0073110662797948,0.055948366968561,5.7252091217902e-05,0.0280891365318948,0.00357817030590626
0.00175105539296042,0.00931773187102439,0.0152881045502724,-0.00764335887950005,0.0135502793283858
0.00278063301022027,0.00518501487806991,-0.0189063556251699,0.0156141801094097,0.0201736211722147
-0.0328932955472407,-0.0330431423763571,-0.000516459384005435,0.0104402318501668,0.0516221733723733
0.0220785258290662,0.0175258229596276,-0.000732776987471956,-0.0368324277906283,0.0250242310257512
-0.0385087010408483,-0.00334668295498183,0.0092066344120392,0.00213249129147144,-0.0245435309418841
-0.0203729678040411,-0.0129768309501685,0.0779711881734994,0.0205711056003209,-0.0394055910912127
0.0166348263728945,0.0178381126180402,0.0361470074035437,0.027357530804187,-0.0325468731287422
-0.0285821763813887,-0.00370104681449795,0.0197375365926661,-0.0815806363169959,-0.0163098841944608
